utterance_id,conversation_id,text,speaker_id,character_name,gender,movie_id,movie_name,release_year,rating,votes,genre,entities,sentiment
L593,L592,My agent says I've got a good shot at being the Prada guy next year.,u4,JOEY,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Prada', 'ORG'), ('next year', 'DATE')]",0.4404
L589,L589,"So yeah, I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.",u4,JOEY,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Sears', 'ORG'), ('Queen Harry', 'PERSON'), ('next week', 'DATE')]",0.5849
L982,L982,"You looked beautiful last night, you know.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('last night', 'TIME')]",0.5994
L913,L909,"Not all experiences are good, Bianca. You can't always trust the people you want to.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bianca', 'ORG')]",0.1275
L898,L893,But you hate Joey,u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Joey', 'PERSON')]",-0.7227
L889,L889,"Listen, I know you hate having to sit home because I'm not Susie High School.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Susie High School', 'ORG')]",-0.5719
L533,L531,"Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Mandella', 'PERSON')]",-0.5859
L529,L529,Can't you forget for just one night that you're completely wretched?,u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('just one night', 'TIME')]",0.1695
L527,L525,"Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[(""Bogey Lowenstein's"", 'ORG'), ('Bitches Who Need Prozac', 'PERSON')]",-0.6705
L443,L441,"Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[(""Bogey Lowenstein's"", 'ORG'), ('Saturday night', 'TIME')]",0.4118
L442,L441,It means that Gigglepuss is playing at Club Skunk and we're going.,u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Gigglepuss', 'PERSON'), ('Club Skunk', 'ORG')]",0.2023
L881,L878,"It's that hot rod Joey, right? That ' s who you want me to bend my rules for?",u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Joey', 'PERSON')]",0.168
L878,L878,"Daddy, I want to discuss the prom with you. It's tomorrow night --",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('tomorrow', 'DATE'), ('night', 'TIME')]",0.0772
L521,L517,"It's just a party. Daddy, but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Gloria Steinem', 'PERSON')]",-0.2732
L459,L458,Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,u1,BRUCE,?,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Gigglepuss', 'PERSON')]",0.3182
L458,L458,"Always a pleasure, Brucie.",u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Brucie', 'PERSON')]",0.5719
L419,L416,Dead at forty-one.,u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('forty-one', 'CARDINAL')]",-0.6486
L388,L388,This is it.  A golden opportunity. Patrick can ask Katarina to the party.,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Patrick', 'PERSON'), ('Katarina', 'PERSON')]",0.6705
L245,L244,"Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.",u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bianca', 'ORG')]",-0.2263
L218,L215,They always let felons sit in on Honors Biology?,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Honors Biology', 'ORG')]",0.5106
L217,L215,No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...,u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Alcatraz', 'GPE')]",-0.765
L210,L210,"I teach her French, get to know her, dazzle her with charm and she falls in love with me.",u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('French', 'NORP')]",0.7845
L144,L143,Sure do ... my Mom's from Canada,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Canada', 'GPE')]",0.3182
L142,L139,"Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.",u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Joey Dorsey', 'PERSON'), ('Perma', 'LOC'), ('twelve', 'CARDINAL')]",0.0516
L78,L77,"Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.",u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('jack', 'PERSON'), ('Clint Eastwood', 'ORG')]",0.1531
L74,L66,Couple thousand. Most of them evil,u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Couple thousand', 'CARDINAL')]",-0.6872
L740,L740,She hates you with the fire of a thousand suns .  That's a direct quote,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('thousand', 'CARDINAL')]",-0.6486
L623,L623,Cameron -- do you like the girl?,u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Cameron', 'PERSON')]",0.3612
L430,L430,Gigglepuss is playing there tomorrow night.,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('tomorrow night', 'TIME')]",0.2023
L426,L426,"Okay -- Likes:  Thai food, feminist prose, and ""angry, stinky girl music of the indie-rock persuasion"".",u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Thai', 'NORP')]",0.296
L412,L411,I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Katarina Stratford', 'PERSON')]",0.5106
L149,L148,"Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Kmart', 'ORG')]",0.1779
L748,L747,Enough with the Barbie n' Ken shit. I know.,u4,JOEY,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Barbie', 'PERSON'), ('Ken', 'PERSON')]",-0.5574
L299,L298,"Fine, thirty.",u4,JOEY,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('thirty', 'DATE')]",0.2023
L298,L298,I can't take a girl like that out on twenty bucks.,u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('twenty bucks', 'MONEY')]",-0.2755
L294,L294,"You got it, Verona.  I pick up the tab, you do the honors.",u4,JOEY,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Verona', 'PERSON')]",0.5106
L289,L287,"Sure, Sparky.  I'll get right on it.",u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Sparky', 'PERSON')]",0.3182
L287,L287,"Two legs, nice rack...",u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Two', 'CARDINAL')]",0.4215
L752,L750,"Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Betty', 'ORG'), ('Archie', 'PRODUCT'), ('Veronica', 'PRODUCT')]",-0.4574
L719,L716,I did Bianca a favor and it backfired.,u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bianca', 'ORG')]",0.4019
L254,L252,"If I was Bianca, it would be, ""Any school you want, precious.  Don't forget your tiara.""",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bianca', 'ORG')]",0.6874
L247,L247,"So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Sarah Lawrence', 'PERSON'), ('one', 'CARDINAL')]",-0.4543
L152,L151,You could always go with me.  I'm sure William has some friends.,u6,MANDELLA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('William', 'PERSON')]",0.6597
L133,L133,"I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('William Shakespeare', 'PERSON')]",-0.8735
L129,L129,"Mandella, eat.  Starving yourself is a very slow way to die.",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Mandella', 'NORP')]",-0.7717
L974,L973,You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!,u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('one', 'CARDINAL')]",-0.3365
L959,L957,"That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail, I don't know Marilyn Manson, and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.",u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('last year', 'DATE'), ('Marilyn Manson', 'PERSON'), ('Spice Girl', 'PERSON'), ('a year', 'DATE'), ('Wheel of Fortune', 'ORG')]",-0.4329
L764,L764,"Excuse me, have you seen The Feminine Mystique?  I lost my copy.",u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('The Feminine Mystique', 'FAC')]",-0.25
L481,L481,"You know, these guys are no Bikini Kill or The Raincoats, but they're right up there.",u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Raincoats', 'PERSON')]",-0.5346
L312,L311,"Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?",u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('7-Eleven', 'EVENT')]",0.466
L998,L998,"You know, fathers don't like to admit that their daughters are capable of running their own lives.  It means we've become spectators.  Bianca still lets me play a few innings.  You've had me on the bleachers for years.  When you go to Sarah Lawrence, I won't even be able to watch the game.",u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bianca', 'ORG'), ('years', 'DATE'), ('Sarah Lawrence', 'PERSON')]",0.3178
L994,L989,The part where Bianca beat the hell out of some guy.,u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bianca', 'ORG')]",-0.6808
L347,L338,I want to go to an East Coast school! I want you to trust me to make my own choices.  I want --,u5,KAT,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('East Coast', 'LOC')]",0.6696
L346,L338,You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.,u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('eighteen', 'DATE'), ('forty-five', 'CARDINAL')]",0.0772
L340,L338,Is this about Sarah Lawrence? You punishing me?,u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Sarah Lawrence', 'PERSON')]",-0.6072
L105,L103,"Well, yes, compared to your other choices of expression this year, today's events are quite mild.  By the way, Bobby Rictor's gonad retrieval operation went quite well, in case you're interested.",u8,MISS PERKY,?,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('this year', 'DATE'), ('today', 'DATE'), (""Bobby Rictor's"", 'PERSON')]",0.8357
L103,L103,"Katarina Stratford.  My, my.  You've been terrorizing Ms. Blaise again.",u8,MISS PERKY,?,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Katarina Stratford', 'PERSON'), ('Blaise', 'PERSON')]",-0.6124
L383,L383,You two are gonna help me tame the wild beast?,u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('two', 'CARDINAL')]",0.4019
L378,L378,I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.,u7,MICHAEL,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Cameron', 'ORG'), (""Joey Dorsey's"", 'PERSON')]",0.6369
L377,L375,What is it with this chick?  She have three tits?,u9,PATRICK,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('three', 'CARDINAL')]",-0.3094
L257,L257,"I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?",u8,MISS PERKY,?,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Patrick', 'PERSON'), ('this week', 'DATE')]",-0.2924
L917,L917,"What do you wanna watch?  We've got crap, crap, crap or crap",u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('wanna', 'PERSON')]",-0.8555
L887,L886,Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.,u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Kissing', 'PERSON'), ('all day', 'DATE')]",0.8299
L876,L876,Would you rather be ravished by a pirate or a British rear admiral?,u10,SHARON,?,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('British', 'NORP')]",0.3182
L162,L161,Make anyone cry today?,u11,WALTER,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('today', 'DATE')]",-0.4767
L2172,L2170,You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!,u12,ALONSO,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Spain', 'GPE'), ('Bastard', 'ORG')]",0.4374
L2170,L2170,I never seen heat like this!  Not even in Las Minas!,u12,ALONSO,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Las Minas', 'FAC')]",-0.4007
L2019,L2019,"If God intended our proximity to Asia, do you believe he would have waited for you to show it to the world?",u13,AROJAZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Asia', 'LOC')]",0.2732
L2016,L2014,"No.  The Portuguese have already discovered black-skinned people.  I, too, will find other populations -- and bring them to the word of God.",u16,COLUMBUS,m,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Portuguese', 'NORP')]",-0.0258
L2014,L2014,"Trade, Your Excellency.  According to Marco Polo, the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.",u16,COLUMBUS,m,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Marco Polo', 'PERSON'), ('the Kingdom of China', 'GPE')]",0.7845
L2005,L2005,"Senor Colon, an experienced captain such as yourself will understand our concern with the crew.  I am not willing to have on my conscience the loss of men who would have relied upon our judgment.",u13,AROJAZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Senor Colon', 'PERSON')]",-0.3182
L1993,L1989,"Then you cannot ignore that according to their calculations, the circumference of the Earth is approximately...  22,000 leagues or more.  Which makes the ocean... uncrossable.",u13,AROJAZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Earth', 'LOC'), ('22,000', 'CARDINAL')]",0.2755
L1991,L1989,"Unfortunately, Don Colon, that is precisely where our opinions differ...  Are you familiar with the work of Aristotle?  Erathostene?  Ptolemeus?",u13,AROJAZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Don Colon', 'PERSON'), ('Aristotle', 'PERSON'), ('Erathostene', 'PERSON'), ('Ptolemeus', 'PERSON')]",-0.4479
L1990,L1989,"Yes, your Eminence.  The voyage should not take more than six or seven weeks.",u16,COLUMBUS,m,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('more than six or seven weeks', 'DATE')]",0.4019
L2274,L2274,"It won't be easy to get rid of your prophet now, Don Sanchez.",u13,AROJAZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Don Sanchez', 'PERSON')]",-0.3412
L2031,L2030,"Indeed.  The world is full of mercenaries -- and states often make use of them, when it benefits them.  My only concern is the welfare and prosperity of Spain.",u24,SANCHEZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('Spain', 'GPE')]",0.3818
L2030,L2030,He is a mercenary!  Did he not already try to convince the King of Portugal of his absurd notions?,u13,AROJAZ,?,m1,1492: conquest of paradise,1992,6.2,10421,"[, ', a, d, v, e, n, t, u, r, e, ', ,,  , ', b, i, o, g, r, a, p, h, y, ', ,,  , ', d, r, a, m, a, ', ,,  , ', h, i, s, t, o, r, y, ', ]","[('the King of Portugal', 'WORK_OF_ART')]",0.3164
