conversation_id,speakers
L103602,"['u603', 'u603', 'u603']"
L103607,['u599']
L103622,"['u603', 'u599', 'u603']"
L103634,"['u603', 'u599', 'u603']"
L103644,['u610']
L103649,['u610']
L103667,['u603']
L103674,['u603']
L103690,['u599']
L103700,"['u603', 'u603', 'u603']"
L103716,"['u599', 'u603']"
L103726,['u599']
L103737,['u599']
L103744,['u599']
L103753,['u601']
L103759,['u601']
L103761,['u603']
L103770,"['u603', 'u600']"
L103791,['u599']
L103803,['u603']
L103806,"['u600', 'u600']"
L103810,['u600']
L103839,['u611']
L103848,['u611']
L103856,"['u611', 'u599']"
L103862,['u611']
L103880,['u603']
L103886,"['u601', 'u603']"
L103897,['u599']
L103900,['u601']
L103906,"['u599', 'u603']"
L103908,['u603']
L103910,['u603']
L103912,"['u603', 'u599', 'u599']"
L103931,['u601']
L103938,['u611']
L103949,"['u611', 'u605']"
L103954,['u603']
L103958,['u603']
L103962,['u611']
L103964,"['u611', 'u611', 'u599', 'u611']"
L103985,"['u599', 'u611']"
L103999,"['u611', 'u599', 'u611', 'u599', 'u599', 'u611']"
L104030,"['u611', 'u611']"
L104035,['u611']
L104058,['u599']
L104063,['u599']
L104070,['u599']
L104078,['u601']
L104084,['u599']
L104093,['u599']
L104136,['u603']
L104143,['u603']
L104146,['u603']
L104160,['u601']
L104232,['u603']
L104238,['u603']
L104254,['u603']
L107918,['u613']
L107954,['u613']
L107959,"['u619', 'u613']"
L107980,['u623']
L108011,['u614']
L108032,"['u612', 'u623']"
L108036,"['u623', 'u612', 'u612', 'u623', 'u612', 'u612']"
L108053,"['u612', 'u623', 'u612', 'u623', 'u623']"
L108065,['u623']
L108090,['u624']
L108093,['u624']
L108096,"['u623', 'u623']"
L108101,['u623']
L108118,['u623']
L108120,"['u623', 'u623', 'u622', 'u623', 'u622', 'u623']"
L108157,['u618']
L108165,['u618']
L108222,['u625']
L108245,"['u613', 'u623']"
L108249,"['u612', 'u612']"
L108272,['u622']
L108279,['u622']
L108298,"['u622', 'u622', 'u622']"
L108310,['u622']
L108315,"['u623', 'u612']"
L108323,"['u627', 'u627']"
L108368,['u623']
L108371,"['u612', 'u612', 'u612', 'u612']"
L108380,['u612']
L108384,"['u623', 'u625']"
L108390,['u625']
L108425,['u623']
L108430,['u614']
L108432,['u623']
L108439,['u614']
L108442,['u612']
L108486,['u613']
L108498,['u613']
L108517,['u623']
L108524,['u623']
L109838,"['u632', 'u628']"
L109849,['u628']
L109891,"['u639', 'u629']"
L109896,['u639']
L109904,['u631']
L109939,['u636']
L109955,['u642']
L109959,"['u636', 'u642']"
L110022,['u634']
L110061,['u640']
L110067,['u640']
L110106,['u641']
L110114,"['u637', 'u637']"
L110119,"['u637', 'u638']"
L110121,['u637']
L110196,['u629']
L110210,['u641']
L110215,['u639']
L110219,['u641']
L110236,['u634']
L110269,['u638']
L110273,['u641']
L110277,['u634']
L110295,['u641']
L110316,['u641']
L110344,"['u634', 'u630', 'u634']"
L110349,['u633']
L110359,['u630']
L110361,"['u638', 'u638', 'u638']"
L110366,['u638']
L110369,['u638']
L110389,['u638']
L110391,['u638']
L110406,['u629']
L110410,['u629']
L110415,['u641']
L110417,"['u641', 'u631']"
L110425,['u641']
L110433,"['u630', 'u638']"
L110437,"['u629', 'u639']"
L110440,['u635']
L110463,['u641']
L110470,['u630']
L117613,['u643']
L117615,['u643']
L117622,['u643']
L117629,['u643']
L117637,"['u653', 'u653', 'u643']"
L117655,"['u643', 'u646']"
L117657,['u645']
L117659,['u643']
L117663,"['u645', 'u645']"
L117670,['u646']
L117696,"['u645', 'u643']"
L117719,['u646']
L117721,['u650']
L117727,['u656']
L117742,['u646']
L117753,['u645']
L117762,['u645']
L117771,['u643']
L117786,['u646']
L117792,['u650']
L117805,['u646']
L117808,['u650']
L117832,['u646']
L117840,['u646']
L117850,['u655']
L117854,['u655']
L117865,['u646']
L117870,['u646']
L117874,['u646']
L117899,['u656']
L117910,['u654']
L117915,"['u646', 'u643', 'u646']"
L117936,"['u646', 'u650', 'u650']"
L117940,['u650']
L117945,['u650']
L117950,"['u650', 'u650', 'u646']"
L117967,"['u650', 'u650']"
L117987,['u646']
L117993,['u646']
L118013,"['u650', 'u646']"
L118021,['u655']
L118030,['u648']
L118033,"['u646', 'u648']"
L118063,"['u650', 'u646', 'u650', 'u646', 'u650', 'u646', 'u650']"
L118071,['u650']
L118082,['u656']
L118086,"['u656', 'u646']"
L118090,['u650']
L118103,['u643']
L118113,['u646']
L118123,['u644']
L118145,"['u646', 'u650', 'u646']"
L118152,"['u646', 'u656']"
L118157,['u643']
L118166,['u646']
L118177,['u649']
L118183,['u646']
L118209,['u650']
L118234,['u650']
L118259,['u646']
L118261,['u646']
L118265,"['u646', 'u650']"
L118269,"['u650', 'u650', 'u650']"
L118287,['u656']
L118301,['u643']
L118307,['u646']
L118323,"['u646', 'u652']"
L118384,['u666']
L118389,['u666']
L118396,['u666']
L118422,['u671']
L118433,"['u671', 'u667', 'u671']"
L118437,"['u667', 'u671', 'u671']"
L118449,"['u667', 'u671']"
L118461,"['u663', 'u663', 'u663', 'u663']"
L118491,['u672']
L118506,"['u667', 'u666']"
L118509,['u666']
L118519,"['u667', 'u661', 'u661']"
L118524,['u666']
L118530,['u666']
L118533,['u667']
L118539,['u666']
L118547,"['u667', 'u666', 'u667', 'u666']"
L118557,"['u666', 'u667', 'u666', 'u666', 'u667']"
L118570,"['u667', 'u666']"
L118584,"['u669', 'u666']"
L118587,"['u666', 'u669']"
L118593,['u666']
L118602,"['u671', 'u671']"
L118618,['u666']
L118624,['u667']
L118626,"['u667', 'u669']"
L118634,['u667']
L118642,"['u669', 'u667', 'u669']"
L118648,['u669']
L118650,['u669']
L118652,['u666']
L118662,['u659']
L118675,"['u666', 'u665', 'u666']"
L118688,['u666']
L118698,['u665']
L118700,"['u665', 'u669', 'u665']"
L118719,"['u665', 'u659']"
L118724,['u659']
L118732,['u666']
L118735,['u668']
L118743,"['u668', 'u664', 'u668', 'u664', 'u668', 'u664', 'u668']"
L118758,['u666']
L118764,['u665']
L118769,['u666']
L118778,['u666']
L118780,"['u664', 'u664']"
L118786,"['u666', 'u665', 'u666']"
L118792,['u666']
L118796,['u664']
L118815,['u668']
L118830,['u667']
L118847,"['u664', 'u667']"
L118859,['u664']
L118866,['u667']
L118877,['u664']
L118889,['u668']
L118893,"['u664', 'u667']"
L118896,"['u664', 'u667', 'u664']"
L118904,['u664']
L118910,"['u666', 'u669', 'u666', 'u669']"
L118914,['u669']
L118917,['u666']
L118923,['u669']
L118926,"['u665', 'u666']"
L118930,"['u669', 'u669']"
L118936,"['u665', 'u666']"
L118940,"['u665', 'u669', 'u665']"
L118943,['u666']
L118971,['u663']
L118973,"['u667', 'u663']"
L118983,['u663']
L118986,['u665']
L118992,['u667']
L118999,['u664']
L119008,['u664']
L119012,['u663']
L119017,['u663']
L119019,"['u664', 'u665', 'u664']"
L119026,"['u665', 'u664']"
L119030,['u665']
L119033,"['u663', 'u663']"
L119036,['u663']
L119038,"['u665', 'u663']"
L119042,['u663']
L119054,['u666']
L119056,"['u667', 'u666']"
L119061,"['u666', 'u667']"
L119079,['u669']
L119083,"['u666', 'u669']"
L119108,['u667']
L119122,"['u658', 'u658']"
L119136,"['u667', 'u658']"
L119144,"['u667', 'u665', 'u667']"
L119168,['u667']
L119179,['u666']
L119189,['u665']
L119195,"['u667', 'u665']"
L119208,['u669']
L119219,"['u669', 'u664', 'u669', 'u664', 'u669']"
L119232,['u664']
L119235,['u664']
L119246,['u665']
L119249,"['u664', 'u664']"
L119253,['u664']
L119259,"['u660', 'u660']"
L119272,['u667']
L119283,"['u667', 'u664']"
L119288,"['u667', 'u664']"
L119291,['u667']
L119300,['u664']
L119303,"['u664', 'u664', 'u667']"
L119328,['u667']
L119338,['u665']
L119340,['u665']
L119352,"['u666', 'u667', 'u667', 'u667', 'u666', 'u666', 'u666', 'u667']"
L119366,"['u666', 'u667']"
L119369,"['u666', 'u667']"
L119372,['u666']
L119380,"['u663', 'u667', 'u663']"
L119386,['u667']
L119389,['u666']
L119393,['u667']
L119409,['u665']
L119411,['u667']
L119422,['u667']
L119450,"['u667', 'u664', 'u667', 'u664']"
L119456,"['u667', 'u667']"
L119464,"['u667', 'u667']"
L119476,"['u664', 'u665']"
L119481,['u666']
L119490,['u667']
L119500,['u666']
L119503,"['u666', 'u666']"
L12104,['u154']
L12108,['u154']
L12130,['u154']
L12146,"['u154', 'u142']"
L12154,"['u154', 'u154', 'u143', 'u154']"
L12178,['u143']
L12180,['u154']
L12186,"['u142', 'u142', 'u154']"
L12193,"['u142', 'u142']"
L12197,['u154']
L12203,['u154']
L122051,['u676']
L122097,"['u686', 'u686', 'u676']"
L12210,"['u154', 'u145']"
L122111,"['u686', 'u686', 'u676', 'u686', 'u686']"
L122121,"['u676', 'u686', 'u676']"
L122149,['u682']
L12216,"['u154', 'u154']"
L122179,['u682']
L122209,['u676']
L12221,['u147']
L122223,['u676']
L122242,['u685']
L122254,['u676']
L12228,['u150']
L122292,['u682']
L12230,['u147']
L122300,"['u682', 'u676']"
L12237,"['u142', 'u142']"
L122414,['u681']
L122416,"['u681', 'u674']"
L122429,['u681']
L122434,['u681']
L122444,['u681']
L122456,['u681']
L122485,['u674']
L122504,['u681']
L122547,['u674']
L12255,"['u154', 'u154', 'u146']"
L122552,['u681']
L122563,"['u678', 'u678']"
L122569,['u676']
L122579,['u678']
L122587,['u686']
L122598,['u686']
L122620,['u682']
L122623,['u682']
L12266,"['u142', 'u142', 'u153']"
L122672,['u682']
L122683,['u676']
L122685,['u686']
L122712,['u676']
L122728,"['u687', 'u687']"
L122752,['u676']
L122762,['u675']
L122777,['u675']
L122797,['u679']
L12285,"['u154', 'u154']"
L12299,['u142']
L12309,['u151']
L12325,['u154']
L12341,"['u154', 'u147']"
L12345,['u154']
L12351,"['u154', 'u150']"
L12361,['u154']
L12366,"['u144', 'u154']"
L12371,['u144']
L12376,"['u144', 'u154']"
L12388,"['u144', 'u142']"
L12393,['u144']
L12398,['u144']
L12403,"['u142', 'u142']"
L12425,"['u154', 'u154']"
L12429,"['u154', 'u154', 'u154']"
L12436,"['u152', 'u152', 'u154']"
L12444,['u154']
L12453,['u154']
L12459,"['u154', 'u149', 'u154']"
L12470,"['u148', 'u154', 'u154']"
L12483,"['u147', 'u147', 'u154', 'u147', 'u147']"
L12490,"['u154', 'u154', 'u154', 'u147', 'u154']"
L12536,"['u151', 'u154']"
L12546,['u147']
L12556,['u151']
L12609,['u154']
L12617,"['u154', 'u154', 'u152', 'u154', 'u152', 'u152', 'u152']"
L12654,['u142']
L12657,['u154']
L12666,"['u154', 'u141', 'u141', 'u141']"
L12687,"['u154', 'u144', 'u144', 'u144']"
L12712,['u154']
L12725,['u154']
L12738,"['u154', 'u154', 'u139']"
L12748,"['u139', 'u154']"
L12756,"['u139', 'u154', 'u139']"
L12764,['u154']
L12770,"['u152', 'u154']"
L12772,"['u140', 'u154', 'u140', 'u140', 'u140']"
L12782,"['u154', 'u147']"
L12807,['u154']
L12817,['u154']
L12821,['u154']
L12831,['u154']
L12833,['u154']
L12836,['u150']
L12841,['u147']
L12851,['u151']
L12854,"['u151', 'u154']"
L12861,['u151']
L129,['u5']
L130796,['u695']
L130822,['u697']
L130830,['u689']
L130834,['u697']
L130841,['u695']
L130850,"['u695', 'u697']"
L130895,['u695']
L130913,"['u695', 'u695']"
L130948,['u690']
L130957,['u697']
L130970,['u694']
L130995,['u697']
L131019,['u697']
L131049,['u695']
L131082,"['u694', 'u695']"
L131154,['u695']
L131168,['u695']
L131172,"['u707', 'u691']"
L131187,['u707']
L131266,['u700']
L131273,"['u697', 'u689']"
L131277,['u697']
L131280,['u697']
L131298,['u700']
L131302,['u700']
L131304,['u700']
L131306,"['u700', 'u706']"
L131321,['u691']
L131325,['u691']
L131331,['u702']
L131354,['u697']
L131364,['u695']
L131387,['u697']
L131395,['u701']
L131400,['u689']
L131406,['u697']
L131410,['u700']
L131413,['u700']
L131422,['u704']
L131429,['u706']
L131450,['u691']
L131493,['u691']
L131497,"['u703', 'u695']"
L131500,"['u703', 'u695']"
L131502,['u703']
L131539,['u700']
L131548,['u700']
L131551,['u691']
L131561,['u695']
L131574,['u706']
L131594,"['u706', 'u691']"
L131605,['u700']
L131618,['u702']
L131624,"['u703', 'u698']"
L131642,['u691']
L131645,['u691']
L131660,['u695']
L131674,['u695']
L131687,['u700']
L131695,"['u695', 'u695']"
L131709,['u700']
L131714,"['u691', 'u695', 'u695']"
L131725,['u700']
L131729,['u700']
L131732,['u695']
L131743,['u695']
L133,['u5']
L139,['u7']
L140743,['u710']
L140747,['u710']
L140789,['u712']
L140793,"['u713', 'u713']"
L140808,['u721']
L140812,['u721']
L140836,['u718']
L140842,['u712']
L140845,['u712']
L140848,"['u712', 'u712', 'u712']"
L140856,['u712']
L140874,['u713']
L140878,['u712']
L140896,['u714']
L140901,"['u714', 'u714']"
L140908,['u713']
L140918,['u714']
L140935,['u721']
L140940,['u723']
L140942,['u721']
L140954,['u710']
L140976,['u718']
L140989,['u713']
L141000,"['u713', 'u715']"
L141004,['u715']
L141030,['u713']
L141052,"['u713', 'u718', 'u713', 'u713']"
L141071,['u719']
L141073,['u719']
L141077,"['u719', 'u719']"
L141086,['u719']
L141099,['u712']
L141101,['u713']
L141103,['u713']
L141118,['u713']
L141124,['u714']
L141161,['u724']
L141168,['u724']
L141170,"['u724', 'u724']"
L141183,['u724']
L141190,['u713']
L141208,['u713']
L141211,"['u713', 'u713']"
L141215,['u720']
L141222,['u713']
L141229,['u713']
L141232,['u722']
L141239,['u713']
L141241,['u713']
L141256,['u719']
L141259,['u721']
L141262,"['u713', 'u713', 'u713']"
L141278,['u713']
L141287,['u718']
L141292,['u713']
L141310,"['u715', 'u708']"
L141312,['u715']
L141318,['u715']
L141320,['u715']
L141326,['u712']
L141328,"['u718', 'u713']"
L141341,['u713']
L141354,['u715']
L141357,['u713']
L141367,"['u718', 'u712']"
L141371,['u713']
L141377,['u713']
L141397,"['u713', 'u710']"
L141409,['u715']
L141413,['u715']
L141418,['u715']
L141423,['u715']
L141443,['u712']
L141450,['u721']
L141455,['u721']
L141458,"['u721', 'u713']"
L141461,['u721']
L141482,['u715']
L141493,['u713']
L141500,['u713']
L141506,"['u717', 'u717', 'u717']"
L141558,['u713']
L141582,['u721']
L141586,['u713']
L141596,"['u721', 'u723']"
L141601,['u721']
L141614,['u713']
L141617,['u714']
L141624,['u713']
L141626,['u713']
L141636,"['u711', 'u711']"
L141651,['u719']
L141670,['u715']
L141672,['u713']
L141674,['u710']
L143,['u2']
L148,['u5']
L148200,"['u727', 'u727']"
L148205,"['u727', 'u728']"
L148220,['u729']
L148225,['u729']
L148231,['u729']
L148233,['u729']
L148298,['u735']
L148352,['u728']
L148367,['u733']
L148376,['u733']
L148390,['u725']
L148421,['u735']
L148437,"['u734', 'u728']"
L148456,"['u728', 'u732']"
L148470,['u728']
L148476,"['u734', 'u728']"
L148481,['u734']
L148500,['u734']
L148508,['u728']
L148512,['u728']
L148537,['u730']
L148598,['u725']
L148610,['u728']
L148649,"['u728', 'u733', 'u733']"
L148668,['u725']
L148670,['u725']
L148683,['u728']
L148693,['u727']
L148702,['u728']
L148767,['u730']
L148773,"['u730', 'u728', 'u728']"
L148781,"['u728', 'u728']"
L148799,['u730']
L148822,['u728']
L148853,"['u730', 'u728']"
L148902,['u733']
L148914,['u728']
L148924,['u735']
L148959,"['u734', 'u734']"
L148986,['u730']
L151,['u6']
L152048,['u741']
L152054,['u743']
L152062,['u741']
L152070,"['u741', 'u737']"
L152079,"['u741', 'u741']"
L152086,['u741']
L152095,"['u740', 'u740', 'u737']"
L152106,"['u741', 'u741']"
L152117,['u740']
L152123,"['u740', 'u737']"
L152132,"['u743', 'u743', 'u743', 'u743']"
L152142,"['u740', 'u740', 'u743', 'u740']"
L152165,['u741']
L152170,"['u740', 'u743', 'u740']"
L152179,['u737']
L152184,"['u739', 'u741']"
L152192,['u741']
L152203,['u741']
L152217,['u741']
L152223,"['u740', 'u740']"
L152233,"['u742', 'u740', 'u740', 'u742', 'u740']"
L152251,"['u742', 'u740']"
L152263,"['u742', 'u742']"
L152309,['u740']
L152321,['u741']
L152333,['u741']
L152342,['u740']
L152349,['u737']
L152362,['u740']
L152375,"['u740', 'u740']"
L152381,"['u743', 'u740']"
L152388,"['u740', 'u743', 'u743']"
L153972,['u759']
L153981,['u747']
L154003,['u755']
L154051,['u746']
L154071,['u755']
L154097,"['u753', 'u760']"
L154099,['u760']
L154104,['u760']
L154111,['u760']
L154139,"['u753', 'u753', 'u751']"
L154158,['u753']
L154188,['u749']
L154201,['u759']
L154220,"['u756', 'u753']"
L154223,"['u756', 'u756', 'u753', 'u756', 'u753']"
L154255,['u754']
L154262,['u754']
L154283,['u753']
L154292,"['u753', 'u751', 'u751', 'u753']"
L154315,"['u756', 'u753', 'u756', 'u756', 'u753']"
L154337,"['u753', 'u753', 'u752']"
L154356,['u753']
L154362,"['u753', 'u753']"
L154380,['u751']
L154397,['u751']
L154409,['u753']
L154412,['u753']
L154416,['u751']
L154424,['u751']
L154431,['u758']
L154454,"['u753', 'u751', 'u753', 'u751', 'u751', 'u751', 'u753']"
L154478,['u748']
L154494,['u760']
L154500,"['u760', 'u760']"
L154507,['u760']
L154520,"['u753', 'u754']"
L154544,['u750']
L154554,['u750']
L154579,"['u753', 'u753']"
L154592,['u753']
L154601,['u753']
L154627,['u745']
L154631,"['u753', 'u745']"
L154643,['u745']
L154650,"['u753', 'u753']"
L154657,"['u753', 'u753']"
L154660,['u753']
L154722,['u751']
L154733,['u751']
L154736,['u751']
L154738,"['u751', 'u753', 'u751']"
L154747,['u751']
L161,['u11']
L162622,['u768']
L162629,"['u766', 'u765', 'u765']"
L162639,['u765']
L162643,['u768']
L162645,['u775']
L162654,['u771']
L162661,"['u771', 'u771']"
L162673,['u768']
L162682,['u768']
L162711,['u771']
L162717,['u768']
L162729,['u775']
L162736,['u768']
L162769,"['u765', 'u775']"
L162771,['u768']
L162776,"['u765', 'u768']"
L162784,['u768']
L162786,"['u765', 'u765']"
L162789,['u765']
L162792,['u768']
L162796,['u768']
L162854,['u765']
L162858,['u765']
L162862,['u775']
L162876,['u767']
L162905,['u765']
L162914,['u765']
L162925,['u766']
L162931,['u764']
L162952,['u765']
L162962,['u768']
L162968,['u765']
L162970,['u775']
L162976,"['u776', 'u774']"
L162980,['u774']
L162993,['u766']
L162997,['u765']
L163007,['u765']
L163009,"['u768', 'u775']"
L163012,['u765']
L163014,"['u765', 'u768']"
L163016,"['u765', 'u768']"
L163025,"['u765', 'u775', 'u765']"
L163028,"['u765', 'u768', 'u765']"
L163042,['u771']
L163059,['u765']
L163063,['u773']
L163066,"['u773', 'u765']"
L163076,"['u762', 'u765']"
L163086,['u762']
L163088,['u762']
L163115,['u769']
L163137,"['u772', 'u766']"
L163151,['u775']
L163165,['u772']
L163177,['u763']
L163186,"['u761', 'u765', 'u761']"
L163207,['u775']
L163215,"['u766', 'u763']"
L163220,['u763']
L163223,"['u766', 'u772']"
L163226,"['u766', 'u766']"
L163232,['u772']
L163253,"['u765', 'u761']"
L163262,['u765']
L163273,['u775']
L163303,"['u763', 'u766']"
L163308,"['u761', 'u765']"
L163345,['u765']
L16572,['u162']
L16576,['u174']
L16578,['u169']
L16584,['u166']
L16587,['u174']
L16590,['u160']
L16592,"['u169', 'u174']"
L16603,['u174']
L16608,['u170']
L16632,['u169']
L16647,['u169']
L16651,['u155']
L16665,['u171']
L16670,"['u155', 'u155']"
L16678,['u155']
L16691,"['u169', 'u171']"
L16702,['u169']
L16719,['u168']
L16800,['u161']
L168570,"['u792', 'u779']"
L168587,['u779']
L168596,"['u792', 'u779', 'u792']"
L168634,['u793']
L168649,['u791']
L168667,['u789']
L168675,"['u782', 'u782']"
L168684,['u779']
L168688,['u781']
L168747,['u779']
L168755,['u785']
L168759,"['u785', 'u779']"
L168764,['u785']
L168766,['u779']
L168772,['u779']
L168784,['u781']
L16879,['u177']
L168828,['u791']
L168866,['u779']
L168887,"['u779', 'u779', 'u779']"
L168907,['u780']
L168914,['u779']
L168921,['u779']
L168923,['u782']
L168926,['u782']
L168928,"['u779', 'u779', 'u779']"
L168961,"['u785', 'u785']"
L169004,"['u786', 'u786', 'u786']"
L169036,"['u779', 'u779']"
L169041,['u785']
L169046,['u779']
L169049,"['u779', 'u779']"
L169055,"['u781', 'u779', 'u779']"
L169062,"['u779', 'u792']"
L169064,['u779']
L16908,"['u166', 'u166']"
L169110,"['u780', 'u780']"
L169131,"['u789', 'u789']"
L16914,['u155']
L169140,['u779']
L169155,['u792']
L169168,['u785']
L169171,"['u789', 'u789', 'u789', 'u789']"
L169179,['u789']
L169188,['u781']
L169193,"['u781', 'u779', 'u781', 'u781']"
L169217,['u779']
L169226,['u779']
L16923,['u169']
L169230,['u781']
L169237,['u781']
L169264,['u779']
L169272,"['u779', 'u779']"
L16931,['u175']
L17003,['u177']
L17006,['u169']
L17009,['u169']
L17029,"['u166', 'u170']"
L17035,['u166']
L17057,['u166']
L17067,['u157']
L17081,['u166']
L17090,"['u166', 'u162', 'u162']"
L17138,['u168']
L17153,['u166']
L17161,"['u162', 'u164']"
L17165,['u164']
L17199,['u169']
L17206,"['u166', 'u166']"
L17213,['u166']
L17303,"['u163', 'u163']"
L17321,['u169']
L17323,['u169']
L17337,['u158']
L17377,['u158']
L17448,['u165']
L18379,['u178']
L18391,"['u180', 'u191']"
L18395,['u180']
L18408,['u183']
L18468,"['u192', 'u192']"
L18500,"['u180', 'u191']"
L18504,['u193']
L18510,['u193']
L18516,['u191']
L18524,['u180']
L18526,['u180']
L18531,['u191']
L18535,"['u192', 'u192']"
L18545,['u180']
L18547,['u180']
L18555,"['u193', 'u180']"
L18558,['u180']
L18563,['u180']
L18566,"['u180', 'u193']"
L18584,"['u184', 'u178', 'u184']"
L18600,['u188']
L18611,"['u194', 'u194']"
L18681,['u186']
L18683,"['u190', 'u180']"
L18685,['u190']
L18687,['u190']
L18694,['u193']
L18699,['u190']
L18717,['u186']
L18720,['u189']
L18751,['u180']
L18760,"['u186', 'u186']"
L18766,['u186']
L18773,['u183']
L18793,"['u180', 'u193', 'u180', 'u180']"
L18805,['u192']
L18821,"['u186', 'u179']"
L18838,['u186']
L18851,"['u189', 'u180']"
L18858,['u185']
L18866,['u180']
L18869,['u186']
L18906,['u180']
L18984,['u193']
L19009,['u180']
L19052,['u180']
L19118,"['u180', 'u193']"
L19130,"['u180', 'u193']"
L19145,"['u193', 'u193', 'u193']"
L19177,['u180']
L19191,"['u193', 'u193']"
L19238,['u193']
L1930,['u18']
L19312,"['u198', 'u198']"
L19324,"['u209', 'u208']"
L19329,['u201']
L19331,['u199']
L19397,"['u205', 'u195']"
L194,['u0']
L19418,"['u214', 'u214']"
L1942,['u19']
L19436,['u209']
L19441,"['u208', 'u202']"
L19444,['u202']
L19465,"['u198', 'u214']"
L19467,"['u198', 'u214']"
L19472,['u214']
L19479,['u210']
L1951,"['u16', 'u19']"
L19512,"['u214', 'u198']"
L19548,['u209']
L19553,['u197']
L19566,['u210']
L1957,"['u16', 'u19']"
L19602,['u207']
L19604,['u196']
L19621,['u210']
L19629,"['u214', 'u197']"
L1963,['u19']
L19652,['u197']
L19703,['u211']
L19706,"['u205', 'u205', 'u205']"
L19735,['u214']
L19753,"['u197', 'u197']"
L19773,"['u214', 'u198', 'u214']"
L19787,"['u214', 'u197']"
L19816,['u203']
L19824,['u203']
L19827,"['u214', 'u210']"
L19835,['u205']
L1989,"['u13', 'u13', 'u16']"
L200,['u0']
L2005,['u13']
L2014,"['u16', 'u16']"
L2019,['u13']
L2027,"['u24', 'u24']"
L2030,"['u24', 'u13']"
L2037,['u16']
L2071,"['u16', 'u18']"
L210,['u2']
L2106,['u24']
L2112,['u18']
L2127,['u17']
L2130,['u17']
L215,"['u2', 'u7']"
L2157,['u20']
L2170,"['u12', 'u12']"
L2196,"['u16', 'u22']"
L2274,['u13']
L2277,"['u16', 'u21']"
L2281,['u24']
L2290,['u16']
L2295,['u24']
L2318,['u16']
L2331,"['u16', 'u16']"
L2386,"['u16', 'u16']"
L2414,"['u18', 'u24']"
L24147,"['u224', 'u224', 'u225']"
L24189,"['u216', 'u216', 'u224']"
L24203,['u226']
L24208,['u226']
L24214,['u224']
L24218,['u224']
L24223,"['u218', 'u224']"
L24226,"['u218', 'u224']"
L24235,"['u224', 'u218', 'u224']"
L24239,['u224']
L24243,['u224']
L24245,['u224']
L24250,['u224']
L24252,['u227']
L24257,"['u224', 'u227']"
L24270,['u224']
L24279,"['u224', 'u224']"
L24285,"['u224', 'u221']"
L24287,['u221']
L2429,['u15']
L24293,['u221']
L24296,"['u218', 'u218']"
L24312,"['u218', 'u224']"
L24314,"['u217', 'u217']"
L24323,['u219']
L24328,['u220']
L24336,['u224']
L24357,['u224']
L24364,['u224']
L24386,"['u218', 'u224']"
